Numéro;Date;Montant;Etat;Tiers;Catégories;Sous-catégorie;Compte;Compte virement;Mode paiement;Ref. Paiement;Référence;Projets/Biens;Commentaire
250;22/02/2022;-12,00;2;Action;Auto/moto;Accessoires;Retrait d'Espèces;;Autre;;;;
251;23/02/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
252;23/02/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
253;23/02/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
254;24/02/2022;-60,00;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
255;24/02/2022;60,00;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
256;25/02/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
257;25/02/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
258;25/02/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
259;28/02/2022;-2,90;2;French Bank;Frais bancaires;Services / Abonnement;FrenchBanq;;Autre;;;;
260;28/02/2022;-20,00;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
261;28/02/2022;20,00;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
262;28/02/2022;-70,00;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
263;28/02/2022;70,00;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
264;28/02/2022;-183,37;2;Leclerc;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
265;28/02/2022;-17,50;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
266;28/02/2022;-23,00;2;Restaurant;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
267;28/02/2022;-6,00;2;Épicerie;Alimentation;Épicerie;Retrait d'Espèces;;Autre;;;;
268;28/02/2022;-15,00;2;Épicerie;Alimentation;Épicerie;Retrait d'Espèces;;Autre;;;;
269;28/02/2022;-10,00;2;Habillement : Vetements;Habillement;Vetements;Retrait d'Espèces;;Autre;;;;
270;28/02/2022;-10,00;2;Delphine;Soins de la personne;Coiffeur/esthéticienne;Retrait d'Espèces;;Autre;;;;
271;28/02/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
272;01/03/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
273;01/03/2022;-65,30;2;Le Kiosque a pizza;Alimentation;Restaurant;FrenchBanq;;Autre;;;;
274;04/03/2022;987,28;2;CPAM DE L'ARTOIS;Autres revenus;Pension Invalidité;FrenchBanq;;Autre;;;;
275;04/03/2022;231,00;2;CPAM DE L'ARTOIS;Autres revenus;Pension Invalidité;FrenchBanq;;Autre;;;;
