0;20240828;-11,00;2;Leclerc;Frais Profesionnel;Alimentation/Restaurant;Retrait d'Espèces;;Autre;;;;
138;20220818;-25,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
139;20220816;50,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
140;20220813;-7,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
141;20220808;20,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
142;20220808;-110,00;2;David Malbranque;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;velo melvin
143;20220808;100,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
144;20220804;-12,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
145;20220730;-6,50;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
146;20220728;50,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
147;20220722;-15,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
148;20220714;-6,20;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
149;20220710;-10,00;2;Delphine;Soins de la personne;Coiffeur/esthéticienne;Retrait d'Espèces;;Autre;;;;
150;20220710;-30,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
151;20220709;50,01;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
152;20220630;-20,00;2;La Civette;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
153;20220623;50,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
154;20220610;50,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
155;20220531;-10,00;2;Delphine;Soins de la personne;Coiffeur/esthéticienne;Retrait d'Espèces;;Autre;;;;
156;20220531;-17,50;2;Restaurant;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
157;20220504;30,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
158;20220430;-20,00;2;Carburant;Auto/moto;Carburant;Retrait d'Espèces;;Autre;;;;
159;20220430;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
160;20220430;-14,50;2;Restaurant;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
161;20220419;50,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
162;20220331;-55,00;2;Habillement : Accessoires;Habillement;Accessoires;Retrait d'Espèces;;Autre;;;;
163;20220331;-53,00;2;Restaurant;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
164;20220317;100,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
165;20220228;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
166;20220228;-10,00;2;Delphine;Soins de la personne;Coiffeur/esthéticienne;Retrait d'Espèces;;Autre;;;;
167;20220228;-10,00;2;Habillement : Vetements;Habillement;Vetements;Retrait d'Espèces;;Autre;;;;
168;20220228;-15,00;2;Épicerie;Alimentation;Épicerie;Retrait d'Espèces;;Autre;;;;
169;20220228;-6,00;2;Épicerie;Alimentation;Épicerie;Retrait d'Espèces;;Autre;;;;
170;20220228;-23,00;2;Restaurant;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
171;20220222;-12,00;2;Action;Auto/moto;Accessoires;Retrait d'Espèces;;Autre;;;;
172;20220219;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
173;20220219;-30,00;2;Carburant;Auto/moto;Carburant;Retrait d'Espèces;;Autre;;;;
174;20220217;-650,00;2;Autres;Auto/moto;Achat auto/moto;Retrait d'Espèces;;Autre;;;;
175;20220217;700,00;2;Livret A;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
176;20220214;60,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
177;20220107;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
178;20211224;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
179;20211216;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
180;20211216;-53,50;2;Restaurant;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
181;20211209;-25,00;2;Restaurant;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
182;20211206;120,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
